Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,FWI,
2005, 9, eco311, 1, 6.15, 11.6, 23.4, 0, 0, 0, 0, 0.07, 0, 
2005, 10, eco311, 1, 29.73, 6, 13.9, 0, 0, 0, 0, 0.07, 0, 
2005, 11, eco311, 1, 10.81, -0.6, 9.9, 0, 0, 0, 0, 0.07, 0, 
2005, 12, eco311, 1, 7.74, -7.4, 0.9, 0, 0, 0, 0, 0.07, 0, 
2006, 1, eco311, 1, 10.43, -5.2, 4, 0, 0, 0, 0, 0.07, 0, 
2006, 2, eco311, 1, 5.07, -8.8, 1, 0, 0, 0, 0, 0.07, 0, 
2006, 3, eco311, 1, 1.27, -4.5, 6.5, 0, 0, 0, 0, 0.07, 0, 
2006, 4, eco311, 1, 4.16, 1.9, 14.8, 0, 0, 0, 0, 0.07, 0, 
2006, 5, eco311, 1, 11.47, 7.4, 17.7, 0, 0, 0, 0, 0.07, 0, 
2006, 6, eco311, 1, 14.12, 13.7, 22.5, 0, 0, 0, 0, 0.07, 0, 
2006, 7, eco311, 1, 9.15, 16.9, 27.3, 0, 0, 0, 0, 0.07, 0, 
2006, 8, eco311, 1, 12.93, 14, 24.6, 0, 0, 0, 0, 0.07, 0, 
2006, 9, eco311, 1, 7.49, 9.9, 20, 0, 0, 0, 0, 0.07, 0, 
2006, 10, eco311, 1, 16.85, 3.8, 14.3, 0, 0, 0, 0, 0.07, 0, 
2006, 11, eco311, 1, 11.71, 2.5, 11.1, 0, 0, 0, 0, 0.07, 0, 
2006, 12, eco311, 1, 4.88, -2.7, 5.4, 0, 0, 0, 0, 0.07, 0, 
2007, 1, eco311, 1, 7.86, -7.3, 1, 0, 0, 0, 0, 0.08, 0, 
2007, 2, eco311, 1, 4.68, -11.8, -2.5, 0, 0, 0, 0, 0.08, 0, 
2007, 3, eco311, 1, 10.82, -5.7, 5.5, 0, 0, 0, 0, 0.08, 0, 
2007, 4, eco311, 1, 16.03, 0.6, 10, 0, 0, 0, 0, 0.08, 0, 
2007, 5, eco311, 1, 10.23, 7.6, 21.1, 0, 0, 0, 0, 0.08, 0, 
2007, 6, eco311, 1, 6.45, 11.7, 23.7, 0, 0, 0, 0, 0.08, 0, 
2007, 7, eco311, 1, 16.74, 14.8, 25.9, 0, 0, 0, 0, 0.08, 0, 
2007, 8, eco311, 1, 2.95, 14.1, 25.5, 0, 0, 0, 0, 0.08, 0, 
2007, 9, eco311, 1, 7.56, 10.8, 22.8, 0, 0, 0, 0, 0.08, 0, 
2007, 10, eco311, 1, 11.75, 7.5, 17.8, 0, 0, 0, 0, 0.08, 0, 
2007, 11, eco311, 1, 9.1, -2.2, 6.9, 0, 0, 0, 0, 0.08, 0, 
2007, 12, eco311, 1, 9.7, -7.4, 0.4, 0, 0, 0, 0, 0.08, 0, 
2008, 1, eco311, 1, 7.25, -8.2, 1.1, 0, 0, 0, 0, 0.08, 0, 
2008, 2, eco311, 1, 26.74, -8.7, 0.7, 0, 0, 0, 0, 0.08, 0, 
2008, 3, eco311, 1, 13.92, -5, 4.8, 0, 0, 0, 0, 0.08, 0, 
2008, 4, eco311, 1, 11.12, 2, 15, 0, 0, 0, 0, 0.08, 0, 
2008, 5, eco311, 1, 5.71, 5.6, 18.1, 0, 0, 0, 0, 0.08, 0, 
2008, 6, eco311, 1, 10.59, 13.3, 24.5, 0, 0, 0, 0, 0.08, 0, 
2008, 7, eco311, 1, 22.53, 16.4, 26.7, 0, 0, 0, 0, 0.08, 0, 
2008, 8, eco311, 1, 4.71, 13.2, 24.5, 0, 0, 0, 0, 0.08, 0, 
2008, 9, eco311, 1, 19.76, 11.2, 21.6, 0, 0, 0, 0, 0.08, 0, 
2008, 10, eco311, 1, 6.26, 3.4, 14.7, 0, 0, 0, 0, 0.08, 0, 
2008, 11, eco311, 1, 9.11, -0.8, 7.2, 0, 0, 0, 0, 0.08, 0, 
2008, 12, eco311, 1, 18.82, -7, 1.8, 0, 0, 0, 0, 0.08, 0, 
2009, 1, eco311, 1, 7.85, -13.1, -3.1, 0, 0, 0, 0, 0.06, 0, 
2009, 2, eco311, 1, 3.64, -8.3, 2.7, 0, 0, 0, 0, 0.06, 0, 
2009, 3, eco311, 1, 7.53, -4.1, 6.5, 0, 0, 0, 0, 0.06, 0, 
