"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
174,"TSCA","adult",NA,37.5823529411765,NA,NA,NA,NA,NA
175,"BEAL","adult",NA,15.5,NA,NA,NA,NA,NA
176,"TSCA","adult",NA,37.2,NA,NA,NA,NA,NA
177,"ACRU","adult",NA,18.0764705882353,NA,NA,NA,NA,NA
178,"TSCA","adult",NA,14.9941176470588,NA,NA,NA,NA,NA
179,"ACRU","adult",NA,16.5,NA,NA,NA,NA,NA
180,"TSCA","adult",NA,18.9,NA,NA,NA,NA,NA
181,"ACRU","adult",NA,11.6,NA,NA,NA,NA,NA
182,"TSCA","adult",NA,26.8941176470588,NA,NA,NA,NA,NA
183,"TSCA","adult",NA,36.9705882352941,NA,NA,NA,NA,NA
184,"ACRU","adult",NA,12.8235294117647,NA,NA,NA,NA,NA
185,"ACRU","adult",NA,15.6,NA,NA,NA,NA,NA
186,"TSCA","adult",NA,26.1,NA,NA,NA,NA,NA
187,"ACRU","adult",NA,16.6,NA,NA,NA,NA,NA
188,"ACRU","adult",NA,24.2,NA,NA,NA,NA,NA
189,"TSCA","adult",NA,18.3,NA,NA,NA,NA,NA
190,"ACRU","adult",NA,17.4,NA,NA,NA,NA,NA
191,"TSCA","adult",NA,14.6,NA,NA,NA,NA,NA
192,"QURU","adult",NA,42.0294117647059,NA,NA,NA,NA,NA
193,"TSCA","adult",NA,11.7,NA,NA,NA,NA,NA
194,"TSCA","adult",NA,42.6117647058824,NA,NA,NA,NA,NA
195,"ACRU","adult",NA,21.4,NA,NA,NA,NA,NA
196,"TSCA","adult",NA,31.2,NA,NA,NA,NA,NA
197,"QURU","adult",NA,22.2,NA,NA,NA,NA,NA
198,"TSCA","adult",NA,23.5,NA,NA,NA,NA,NA
199,"ACRU","adult",NA,21.6,NA,NA,NA,NA,NA
200,"QUVE","adult",NA,43.3647058823529,NA,NA,NA,NA,NA
201,"ACRU","adult",NA,15.5,NA,NA,NA,NA,NA
202,"BELE","adult",NA,16.5,NA,NA,NA,NA,NA
203,"QURU","adult",NA,21.5647058823529,NA,NA,NA,NA,NA
204,"QURU","adult",NA,33.7294117647059,NA,NA,NA,NA,NA
205,"QUVE","adult",NA,18.5,NA,NA,NA,NA,NA
206,"ACRU","adult",NA,14.8058823529412,NA,NA,NA,NA,NA
207,"ACRU","adult",NA,15.4,NA,NA,NA,NA,NA
208,"ACRU","adult",NA,12,NA,NA,NA,NA,NA
209,"BEAL","adult",NA,14.1705882352941,NA,NA,NA,NA,NA
210,"ACRU","adult",NA,13,NA,NA,NA,NA,NA
211,"BEAL","adult",NA,18.0470588235294,NA,NA,NA,NA,NA
212,"ACRU","adult",NA,18.7705882352941,NA,NA,NA,NA,NA
213,"ACRU","adult",NA,17.8,NA,NA,NA,NA,NA
214,"ACRU","adult",NA,14.2705882352941,NA,NA,NA,NA,NA
215,"BELE","adult",NA,17.1294117647059,NA,NA,NA,NA,NA
216,"ACRU","adult",NA,12.1,NA,NA,NA,NA,NA
217,"QURU","adult",NA,33,NA,NA,NA,NA,NA
218,"ACRU","adult",NA,11.5,NA,NA,NA,NA,NA
219,"BELE","adult",NA,20,NA,NA,NA,NA,NA
