# ppt,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
1998-09T00:00:00Z,23.33333333,0,0
1998-10T00:00:00Z,14.96296296,0,0
1998-11T00:00:00Z,7.869565217,0,0
1998-12T00:00:00Z,5.88,0,0
1999-01T00:00:00Z,1.3,0,0
1999-02T00:00:00Z,3.035714286,0,0
1999-03T00:00:00Z,6.166666667,0,0
1999-04T00:00:00Z,14,0,0
1999-05T00:00:00Z,20.68965517,0,0
1999-06T00:00:00Z,26.63333333,0,0
1999-07T00:00:00Z,28.5,0,0
1999-08T00:00:00Z,26.35714286,0,0
1999-09T00:00:00Z,22.96666667,0,0
1999-10T00:00:00Z,13.93103448,0,0
1999-11T00:00:00Z,11.31034483,0,0
1999-12T00:00:00Z,3.193548387,0,0
2000-01T00:00:00Z,-1.419354839,0,0
2000-02T00:00:00Z,2.034482759,0,0
2000-03T00:00:00Z,9.533333333,0,0
2000-04T00:00:00Z,11.06666667,0,0
2000-05T00:00:00Z,18.4,0,0
2000-06T00:00:00Z,22.31034483,0,0
2000-07T00:00:00Z,23.93333333,0,0
2000-08T00:00:00Z,23.58064516,0,0
2000-09T00:00:00Z,20.86666667,0,0
2000-10T00:00:00Z,14.93548387,0,0
2000-11T00:00:00Z,7.333333333,0,0
2000-12T00:00:00Z,-0.066666667,0,0
2001-01T00:00:00Z,-0.290322581,0,0
2001-02T00:00:00Z,1.259259259,0,0
2001-03T00:00:00Z,2.866666667,0,0
2001-04T00:00:00Z,12.86206897,0,0
2001-05T00:00:00Z,20.77419355,0,0
2001-06T00:00:00Z,24.35714286,0,0
2001-07T00:00:00Z,25.20689655,0,0
2001-08T00:00:00Z,26.75862069,0,0
2001-09T00:00:00Z,22.27586207,0,0
2001-10T00:00:00Z,16.93548387,0,0
2001-11T00:00:00Z,12.65,0,0
2001-12T00:00:00Z,7.19047619,0,0
2002-01T00:00:00Z,3.1,0,0
2002-02T00:00:00Z,4.7,0,0
2002-03T00:00:00Z,6.7,0,0
2002-04T00:00:00Z,14.1,0,0
2002-05T00:00:00Z,17.7,0,0
2002-06T00:00:00Z,23.1,0,0
2002-07T00:00:00Z,26.8,0,0
2002-08T00:00:00Z,27,0,0
2002-09T00:00:00Z,23.4,0,0
2002-10T00:00:00Z,12.8,0,0
2002-11T00:00:00Z,6.3,0,0
2002-12T00:00:00Z,1.3,0,0
2003-01T00:00:00Z,-4.3,0,0
2003-02T00:00:00Z,-1.6,0,0
2003-03T00:00:00Z,7.2,0,0
2003-04T00:00:00Z,11,0,0
2003-05T00:00:00Z,17.3,0,0
2003-06T00:00:00Z,22.8,0,0
2003-07T00:00:00Z,26.3,0,0
2003-08T00:00:00Z,26.1,0,0
2003-09T00:00:00Z,21.2,0,0
2003-10T00:00:00Z,13.8,0,0
2003-11T00:00:00Z,10.2,0,0
2003-12T00:00:00Z,3,0,0
2004-01T00:00:00Z,-6,0,0
2004-02T00:00:00Z,1.8,0,0
2004-03T00:00:00Z,6.5,0,0
2004-04T00:00:00Z,13.7,0,0
2004-05T00:00:00Z,20.7,0,0
2004-06T00:00:00Z,22.9,0,0
2004-07T00:00:00Z,25,0,0
2004-08T00:00:00Z,25,0,0
2004-09T00:00:00Z,22,0,0
2004-10T00:00:00Z,14.1,0,0
2004-11T00:00:00Z,8.7,0,0
2004-12T00:00:00Z,1.5,0,0
2005-01T00:00:00Z,-2.1,0,0
2005-02T00:00:00Z,2.8,0,0
2005-03T00:00:00Z,4.2,0,0
2005-04T00:00:00Z,15.5,0,0
2005-05T00:00:00Z,15.4,0,0
2005-06T00:00:00Z,25.7,0,0
2005-07T00:00:00Z,26.5,0,0
2005-08T00:00:00Z,26.8,0,0
2005-09T00:00:00Z,23.4,0,0
2005-10T00:00:00Z,13.9,0,0
2005-11T00:00:00Z,9.9,0,0
2005-12T00:00:00Z,0.9,0,0
2006-01T00:00:00Z,4,0,0
2006-02T00:00:00Z,1,0,0
2006-03T00:00:00Z,6.5,0,0
2006-04T00:00:00Z,14.8,0,0
2006-05T00:00:00Z,17.7,0,0
2006-06T00:00:00Z,22.5,0,0
2006-07T00:00:00Z,27.3,0,0
2006-08T00:00:00Z,24.6,0,0
2006-09T00:00:00Z,20,0,0
2006-10T00:00:00Z,14.3,0,0
2006-11T00:00:00Z,11.1,0,0
2006-12T00:00:00Z,5.4,0,0
2007-01T00:00:00Z,1,0,0
2007-02T00:00:00Z,-2.5,0,0
2007-03T00:00:00Z,5.5,0,0
2007-04T00:00:00Z,10,0,0
2007-05T00:00:00Z,21.1,0,0
2007-06T00:00:00Z,23.7,0,0
2007-07T00:00:00Z,25.9,0,0
2007-08T00:00:00Z,25.5,0,0
2007-09T00:00:00Z,22.8,0,0
2007-10T00:00:00Z,17.8,0,0
2007-11T00:00:00Z,6.9,0,0
2007-12T00:00:00Z,0.4,0,0
2008-01T00:00:00Z,1.1,0,0
2008-02T00:00:00Z,0.7,0,0
2008-03T00:00:00Z,4.8,0,0
2008-04T00:00:00Z,15,0,0
2008-05T00:00:00Z,18.1,0,0
2008-06T00:00:00Z,24.5,0,0
2008-07T00:00:00Z,26.7,0,0
2008-08T00:00:00Z,24.5,0,0
2008-09T00:00:00Z,21.6,0,0
2008-10T00:00:00Z,14.7,0,0
2008-11T00:00:00Z,7.2,0,0
2008-12T00:00:00Z,1.8,0,0
2009-01T00:00:00Z,-3.1,0,0
2009-02T00:00:00Z,2.7,0,0
2009-03T00:00:00Z,6.5,0,0
2009-04T00:00:00Z,14.6,0,0
2009-05T00:00:00Z,19.1,0,0
2009-06T00:00:00Z,21.6,0,0
2009-07T00:00:00Z,24,0,0
2009-08T00:00:00Z,25.9,0,0
2009-09T00:00:00Z,20.3,0,0
2009-10T00:00:00Z,12.9,0,0
2009-11T00:00:00Z,10.3,0,0
2009-12T00:00:00Z,0.8,0,0
2010-01T00:00:00Z,-0.5,0,0
2010-02T00:00:00Z,0.9,0,0
2010-03T00:00:00Z,9.3,0,0
2010-04T00:00:00Z,16.1,0,0
2010-05T00:00:00Z,21.8,0,0
2010-06T00:00:00Z,24,0,0
2010-07T00:00:00Z,28,0,0
2010-08T00:00:00Z,25.9,0,0
2010-09T00:00:00Z,22.6,0,0
2010-10T00:00:00Z,14.6,0,0
2010-11T00:00:00Z,8.4,0,0
2010-12T00:00:00Z,0.6,0,0
2011-01T00:00:00Z,-1.9,0,0
2011-02T00:00:00Z,1,0,0
